InstituteNo,id,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank,is_preparatory
30,17384,2016,NIT,6,HS,Gender-Neutral,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,7138,32722,0
30,17389,2016,NIT,6,OS,Gender-Neutral,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,9200,18568,0
31,17463,2016,NIT,6,AP,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,1366,1458,0
31,17468,2016,NIT,6,HS,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,247,1439,0
31,17474,2016,NIT,6,OS,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,274,1318,0
20,17657,2016,NIT,6,HS,Gender-Neutral,NIT-Nagpur,Computer Science and Engineering,4 Years,B.Tech,GEN,784,4442,0
20,17662,2016,NIT,6,OS,Gender-Neutral,NIT-Nagpur,Computer Science and Engineering,4 Years,B.Tech,GEN,2016,3661,0
3,17744,2016,NIT,6,HS,Gender-Neutral,NIT-Andhra-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,4729,12099,0
3,17749,2016,NIT,6,OS,Gender-Neutral,NIT-Andhra-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,4863,12379,0
12,17850,2019,NIT,7,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,5378,10800,0
12,17851,2019,NIT,7,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,9851,14638,0
12,17862,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,7199,9667,0
12,17863,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10262,13987,0
12,17950,2019,NIT,7,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,10981,13479,0
12,17951,2019,NIT,7,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,17775,22750,0
12,17959,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,9794,10836,0
12,17960,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,14310,16284,0
11,18048,2019,NIT,7,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1148,4483,0
11,18049,2019,NIT,7,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,5705,6462,0
11,18059,2019,NIT,7,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,2135,4566,0
11,18060,2019,NIT,7,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3110,6169,0
5,18218,2019,NIT,7,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,2193,8442,0
5,18219,2019,NIT,7,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,9624,12387,0
5,18231,2019,NIT,7,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4967,7290,0
5,18232,2019,NIT,7,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,8691,10640,0
2,18425,2019,NIT,7,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1449,4714,0
2,18426,2019,NIT,7,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,2612,8136,0
